Order,Event,Name,MMA Record,UFC Record,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Fight Minutes,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Distance %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Controlled %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control Rate,TAKEDOWN EFFICIENCY_Landed,TAKEDOWN EFFICIENCY_Attempted,TAKEDOWN EFFICIENCY_Accuracy,TAKEDOWN EFFICIENCY_Conceded,TAKEDOWN EFFICIENCY_Defended,TAKEDOWN EFFICIENCY_Faced,TAKEDOWN EFFICIENCY_Defense,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Landed,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Attempted,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Conceded,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Faced,CLINCH + GROUND STRIKING PREVALENCE_% of Time,CLINCH + GROUND STRIKING PREVALENCE_% of Strikes,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Landed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Absorbed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Differential,CLINCH + GROUND STRIKING EFFICIENCY_Accuracy,CLINCH + GROUND STRIKING EFFICIENCY_Defense,CLINCH STRIKING_% of Strikes Landed,CLINCH STRIKING_Accuracy,CLINCH STRIKING_% of Strikes Absorbed,CLINCH STRIKING_Defense,GROUND STRIKING_% of Strikes Landed,GROUND STRIKING_Accuracy,GROUND STRIKING_% of Strikes Absorbed,GROUND STRIKING_Defense,SUBMISSION ATTEMPTS_Attempts,SUBMISSION ATTEMPTS_per 5 Control Minutes,SUBMISSION ATTEMPTS_Success Rate,SUBMISSION ATTEMPTS_Attempts Faced,SUBMISSION ATTEMPTS_per 5 Controlled Minutes,SUBMISSION ATTEMPTS_Defense Rate,REVERSALS_Secured,REVERSALS_per 5 Controlled Minutes,REVERSALS_Conceded,REVERSALS_per 5 Control Minutes
16b,UFC FN: Ankalaev vs. Rountree Jr,Tyrell Fortune,18-3-0,1-0-0,15,61%,34%,5%,88%,3,5,60%,0,1,1,100%,1.6,2.7,0.0,0.5,39%,40%,2.1,1.9,0.2,75%,21%,20%,100%,23%,21%,20%,60%,0%,,0,0.0,,0,0.0,,0,0.0,0,0.0
17a,UFC FN: Ankalaev vs. Rountree Jr,Valter Walker,15-1-0,4-1-0,24,41%,56%,3%,94%,9,13,69%,0,0,0,,4.7,6.8,0.0,0.0,59%,30%,1.0,0.3,0.7,64%,43%,11%,42%,6%,43%,19%,90%,0%,,4,1.5,100%,0,0.0,,1,6.5,1,0.4
17b,UFC FN: Ankalaev vs. Rountree Jr,Thomas Petersen,11-4-0,3-3-0,74,57%,39%,4%,90%,13,34,38%,1,6,7,86%,1.5,4.0,0.1,0.8,43%,25%,1.8,1.0,0.8,67%,33%,7%,70%,11%,33%,18%,66%,5%,31%,1,0.2,0%,0,0.0,,0,0.0,0,0.0
18a,UFC FN: Ankalaev vs. Rountree Jr,Uran Satybaldiev,9-1-0,1-1-0,18,61%,8%,30%,22%,0,2,0%,1,1,2,50%,0.0,0.9,0.5,0.9,39%,11%,0.6,1.3,-0.7,80%,36%,11%,100%,14%,36%,0%,0%,0%,,2,6.7,50%,0,0.0,,1,0.9,0,0.0
18b,UFC FN: Ankalaev vs. Rountree Jr,Dustin Jacoby,22-9-1,10-6-1,166,81%,8%,11%,42%,3,15,20%,20,27,47,57%,0.1,0.6,0.7,1.8,19%,11%,3.0,2.7,0.3,66%,36%,8%,74%,7%,37%,2%,48%,5%,34%,0,0.0,,2,0.5,50%,0,0.0,0,0.0
19a,UFC FN: Ankalaev vs. Rountree Jr,Ismael Bonfim,20-6-0,2-3-0,42,73%,4%,23%,15%,3,9,33%,3,8,11,73%,0.5,1.5,0.5,1.8,27%,10%,1.9,2.4,-0.4,85%,29%,8%,86%,5%,40%,1%,75%,11%,22%,0,0.0,,2,1.0,50%,0,0.0,0,0.0
19b,UFC FN: Ankalaev vs. Rountree Jr,Axel Sola,11-1-1,1-1-0,27,80%,20%,0%,98%,4,11,36%,0,0,0,,0.9,2.6,0.0,0.0,20%,12%,2.4,6.7,-4.4,62%,40%,8%,53%,25%,41%,4%,100%,1%,0%,0,0.0,,0,0.0,,0,0.0,0,0.0
20a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Tuchalov,6-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20b,UFC FN: Ankalaev vs. Rountree Jr,Brendson Ribeiro,17-10-0,2-5-0,49,61%,5%,34%,12%,3,7,43%,11,3,14,21%,0.5,1.2,1.8,2.3,39%,3%,0.2,2.9,-2.7,57%,35%,2%,50%,3%,29%,1%,100%,27%,35%,2,4.5,50%,1,0.3,0%,2,0.6,0,0.0
21a,UFC FN: Ankalaev vs. Rountree Jr,Nurullo Aliev,11-0-0,3-0-0,45,44%,51%,5%,90%,6,11,55%,2,8,10,80%,1.5,2.8,0.5,2.5,56%,33%,1.4,0.2,1.1,50%,40%,8%,62%,5%,43%,26%,47%,3%,33%,1,0.2,0%,3,6.2,100%,1,2.1,1,0.2
