fight_id,event_date,weight_class,is_title_bout,is_main_event,a_name,b_name,a_archetype,b_archetype,a_short_notice,b_short_notice,a_long_layoff,b_long_layoff,a_age,b_age,a_ufc_fights,b_ufc_fights,a_win_rate_l3,b_win_rate_l3,a_finish_rate,b_finish_rate,a_recent_1,b_recent_1,prob_a,confidence,confidence_bucket,model_pick,a_won,correct,fav_hit,fm_blend_a,fm_blend_b,fm_prob_a,fm_pick,fm_correct,v2_fm_agree,ensemble_prob_a,ensemble_pick,ensemble_correct
5f7111b982bcf6e3,2026-05-16,Women's Bantamweight,0,0,Jacqueline Cavalcanti,Ketlen Vieira,Volume Striker,Volume Striker,0,0,0,0,28.7,34.7,5,14,1.0,0.3333,0.0,0.1111,W,L,0.5927,0.5927,lean (55-60%),A,0,0,0,1500.4500000000003,1690.9,0.25043036435850335,B,1.0,False,0.42156518217925165,B,1.0
60949f33201415ca,2026-04-11,Featherweight,0,0,Cub Swanson,Nate Landwehr,Volume Striker,Volume Striker,0,0,0,0,42.4,37.8,33,10,0.6667,0.3333,0.45,0.6,W,L,0.5919,0.5919,lean (55-60%),A,1,1,1,,,,TIE,,False,,B,
60de0423ae6ed097,2026-06-14,Bantamweight,0,0,Aiemann Zahabi,Sean O'Malley,Volume Striker,Volume Striker,0,0,0,0,38.6,31.6,10,16,1.0,0.3333,0.25,0.5833,W,W,0.3144,0.6856,med (60-70%),B,0,1,1,1852.5,2133.8,0.1653024018133172,B,1.0,True,0.23985120090665862,B,1.0
6102e7a6dcbc62f0,2026-03-28,Welterweight,0,0,Michael Chiesa,Niko Price,Sub Specialist,Volume Striker,0,0,0,0,38.3,36.5,21,20,1.0,0.0,0.5714,0.75,W,L,0.6763,0.6763,med (60-70%),A,1,1,1,,,,TIE,,False,,B,
610a640a0cd81ce5,2026-05-02,Lightweight,0,0,Dom Mar Fan,Kody Steele,Volume Striker,Point Fighter,0,0,0,0,26.1,31.0,1,1,1.0,0.0,0.0,0.0,W,L,0.808,0.808,high (>=70%),A,0,0,0,1502.65,1578.5,0.3925448139600368,B,1.0,False,0.6002724069800185,A,0.0
6242cda790f2085d,2026-05-16,Light Heavyweight,0,0,Ivan Erslan,Tuco Tokkos,Volume Striker,Sub Specialist,0,0,0,0,34.5,35.9,3,3,0.0,0.3333,0.0,1.0,L,W,0.4369,0.5631,lean (55-60%),B,1,0,0,,,,TIE,,False,,B,
62b5ce408c150fa8,2026-04-11,Lightweight,0,0,Esteban Ribovics,Mateusz Gamrot,Volume Striker,Wrestler,0,0,0,0,30.0,35.3,6,12,0.6667,0.3333,0.25,0.5,W,L,0.399,0.601,med (60-70%),B,0,1,1,1744.0,2069.5,0.133110879399282,B,1.0,True,0.266055439699641,B,1.0
6658fe4531c86674,2026-06-20,Welterweight,0,0,Leon Shahbazyan,Levan Chokheli,Volume Striker,Point Fighter,0,0,1,0,30.6,29.7,1,0,0.0,0.0,0.0,0.0,L,,0.392,0.608,med (60-70%),B,0,1,1,1384.5,1708.3500000000001,0.13421071945169505,B,1.0,True,0.26310535972584753,B,1.0
678440bd8274a18e,2026-04-18,Featherweight,0,0,Dennis Buzukja,Marcio Barbosa,Volume Striker,Point Fighter,0,0,1,0,28.5,27.9,5,0,0.3333,0.0,1.0,0.0,L,,0.4254,0.5746,lean (55-60%),B,0,1,1,1432.75,1763.65,0.12956464844847224,B,1.0,True,0.27748232422423613,B,1.0
67f24cf244134661,2026-04-25,Middleweight,0,0,Eric McConico,Rodolfo Vieira,Volume Striker,Sub Specialist,0,0,0,0,36.0,36.6,3,10,0.3333,0.3333,0.0,0.8333,L,L,0.3923,0.6077,med (60-70%),B,1,0,0,1505.1000000000001,1507.5500000000002,0.4964742250170609,B,0.0,True,0.44438711250853047,B,0.0
689384b01b40ef5c,2026-03-28,Lightweight,0,0,Chase Hooper,Lance Gibson Jr.,Sub Specialist,Point Fighter,0,0,0,0,26.5,31.1,13,1,0.6667,0.0,0.6667,0.0,L,L,0.6955,0.6955,med (60-70%),A,0,0,0,1611.6,1683.2000000000003,0.39839365222701295,B,1.0,False,0.5469468261135064,A,0.0
6a35ff33b8597904,2026-06-27,Welterweight,0,0,Eric Nolan,Farman Hasanov,Point Fighter,Point Fighter,0,0,0,0,28.8,30.9,1,0,0.0,0.0,0.0,0.0,L,,0.5278,0.5278,tossup (50-55%),A,0,0,0,1336.6000000000001,1520.2,0.2579048869983542,B,1.0,False,0.39285244349917714,B,1.0
6e78d874097a3d22,2026-02-21,Women's Flyweight,0,0,Carli Judice,Juliana Miller,Volume Striker,Wrestler,0,0,0,0,27.0,29.8,3,4,0.6667,0.3333,1.0,0.5,W,W,0.6209,0.6209,med (60-70%),A,1,1,1,1474.3000000000002,1266.4,0.767949437040706,A,1.0,True,0.6944247185203529,A,1.0
6feb49a6b7e8433c,2026-03-07,Featherweight,0,0,Alberto Montes,Ricky Turcios,Point Fighter,Volume Striker,0,0,0,0,31.8,32.8,0,6,0.0,0.3333,0.0,0.0,,L,0.5212,0.5212,tossup (50-55%),A,1,1,1,1541.5500000000002,1235.35,0.8535386043059079,A,1.0,True,0.6873693021529539,A,1.0
70f1621080b3435c,2026-05-09,Middleweight,1,1,Khamzat Chimaev,Sean Strickland,Sub Specialist,Volume Striker,0,0,0,0,32.0,35.2,9,24,1.0,0.6667,0.6667,0.3529,W,W,0.6975,0.6975,med (60-70%),A,0,0,0,2292.7,2202.6000000000004,0.6268337427576248,A,0.0,True,0.6621668713788125,A,0.0
7208e40818401e88,2026-06-14,Lightweight,1,1,Ilia Topuria,Justin Gaethje,Volume Striker,Volume Striker,0,0,0,0,29.4,37.6,9,15,1.0,0.6667,0.7778,0.6,W,W,0.7689,0.7689,high (>=70%),A,0,0,0,2282.7000000000003,2331.05,0.430864478964901,B,1.0,False,0.5998822394824506,A,0.0
