fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Jake Matthews,Carlston Harris,BetOnline.ag,Under,2.5,1.74,2026-05-25,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Over,2.5,2.13,2026-05-25,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Under,2.5,1.73,2026-05-25,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Over,2.5,1.98,2026-05-25,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Under,2.5,1.77,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,BetOnline.ag,Over,2.5,1.57,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,BetOnline.ag,Under,2.5,2.53,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Over,2.5,1.5,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Under,2.5,2.48,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Over,2.5,1.56,2026-05-25,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Under,2.5,2.46,2026-05-25,2026-05-30
Diego Lopes,Steve Garcia Jr.,1xBet,Over,2.5,2.2,2026-05-25,2026-06-14
Diego Lopes,Steve Garcia Jr.,1xBet,Under,2.5,1.63,2026-05-25,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,1.8,2026-05-25,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.95,2026-05-25,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,1.75,2026-05-25,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,2.0,2026-05-25,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,2.5,1.9,2026-05-25,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,2.5,1.84,2026-05-25,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Over,2.5,1.45,2026-05-25,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Under,2.5,2.65,2026-05-25,2026-06-14
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-25,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-25,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-25,2026-06-15
